Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725bedf6225b6f26b174ed92b5588,0e0460d956c9e8590cb7add6af7f6798,9
1,e07756f37f992584f780b7fd1d58f245,dd8126a08b48cef987ff632f288004b7,62
2,25db7b37eee5405e9eefb89f0a04f560,12738f94993b416d1ec42242364426f5,71
3,bf763cdec299bd92e8b459c070f196ff,0d84699194bf28fc8a7b0abebc3f2c4b,65
4,946a8be5afd846401f9aded4f81b9c23,70f5daf4e44af2086e31f8b6d20ed4fd,68
5,175c9d1709456a0d040d8a24052b7f09,cbbd8e412ff77c4941c684ff93c85002,59
6,354198846e30e72913e1dc3cc2d82eb0,03eef99d2c1985d46ddf012bfe175129,59
7,e9d7ebd0c75e3d3f4829bc28a79a3a45,b33f5c269f26d9f2f2f9d8d90cee89f0,66
8,c4f7ee1b17c2e1be9d2b6dbec3b418a6,1b98d0d884be092a7647d1f37aa95803,62
9,9cc48677a606083a978219dbe9e16f7d,d3f2ab02574ca228210b73db5ba22bd8,57
10,016c1ec4ac5cc0e621bc5f48ecfa00a9,df03ca3b884f6813a9441bc8f2e63010,64
