Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032547698bbcdeffedcba9876543210,n/a,10
0,0f2725bfdf6225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,10
1,e16647e3c93ec5c3e781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,61
2,2cde76d1fc67741d25b2b0f1f5ea9f9b,d2c96bb74980b45ede7ec661e6ffd3c6,47
3,45e9c2e04eb9033c279792ab727e4227,c0afdf39892f6b675751ad06b1ae7ec0,71
4,89838cd9b5c2c99ab197f0c4f81fd331,2c5c65f1a5730e96f222a390438cdd50,63
5,2938e5259caff69d038b886120a26e77,589d36ebfdee387d0fcc9bed4c4046bd,59
6,9a32077acc08f31abcc4e5801e35b7ad,71c74cc28c2974bf83e5ef52cfa5a9ef,58
7,402916437a748c30347c9706b693a673,37149348bb3de7f738d808a5f77da14a,74
8,f01c5f2452970ea2c7b5ecc95f6299f5,48264520f31ba2d7cbc3aa723cbe0b38,58
9,5525f0d5b2b8a84b422ced2eb5bc238a,fd0d42cb0e16e01cc5d54a6ef96b4156,71
10,48e2a62c8de9354d5328d5935319da47,b48ef352ba98134e7f4d592086261876,66
