Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,02468aceeca86420,n/a,0
1,3cf03c0f9ad628c5,7833c324da70,3
2,9ad628c59b29176b,2b1a74ca4898,10
3,9b29176bf28977e3,8c78d8c1531d,26
4,f28977e306407e9e,1667789312a8,30
5,06407e9e223c04a4,ce5d01d01b25,32
6,223c04a4cacf8b82,4bab4d122abc,38
7,cacf8b827007c866,09f48b713991,31
8,7007c866de6bc91f,710dea23203b,29
9,de6bc91f43a30085,129ab8b247c3,35
10,43a30085e234eddd,9c38661e8303,35
11,e234eddd12ba8f34,a26e4cd66540,35
12,12ba8f34820bd76f,48772468a348,42
13,820bd76fb0301958,c09d79f0f40a,38
14,b0301958f9359413,c5e2636c162a,32
15,f9359413c7de16af,a3df829c786a,31
16,7cc6db5fc7de16af,a6120b494d25,37
IP-1,87bffb676d42f5b6,n/a,37
