Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032546789abcdeffedcba9876543210,n/a,5
0,0f2725aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,5
1,c4a9ad090fc7ff3fe781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,48
2,63d2e692a1dcefdb4bb637727efa04cb,d2c96bb74980b45ede7ec661e6ffd3c6,58
3,39e9ac0d82c339136a88e40217165d24,c0afdf39892f6b675751ad06b1ae7ec0,61
4,259fd1ec4ff0239ed37b58baff018eb9,2c5c65f1a5730e96f222a390438cdd50,79
5,9549abe05acde655721be013c465c089,589d36ebfdee387d0fcc9bed4c4046bd,69
6,bf13f0b55ae632aa4a65395e493b0e84,71c74cc28c2974bf83e5ef52cfa5a9ef,68
7,e372d072752a3d7992f2d0e97d8149e9,37149348bb3de7f738d808a5f77da14a,61
8,306873ba2982005987b2c8a820b6d879,48264520f31ba2d7cbc3aa723cbe0b38,60
9,9eba5f4b938ab74d7d1f501be231282d,fd0d42cb0e16e01cc5d54a6ef96b4156,60
10,bff0a08a665827fd808a96c31ed2b1d9,b48ef352ba98134e7f4d592086261876,58
