Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,12468aceeca86420,n/a,1
1,3cf03c0fbad32845,7833c320da70,1
2,bad3284539a9b7a3,2b1a74ca48d8,5
3,39a9b7a3171cb8b3,8c78d881d31d,18
4,171cb8b3ccaca55e,1667789316a0,34
5,ccaca55ed16c3653,ce5d01d80b25,37
6,d16c3653cf402c68,4bab4d126a9c,33
7,cf402c682b2cefbc,09f48b713191,32
8,2b2cefbc99f91153,710deaa3202b,33
9,99f911532eed7d94,129ab83347c3,32
10,2eed7d94d0f23094,9c38661e8103,34
11,d0f23094455da9c4,a26e4cc66544,37
12,455da9c47f6e3cf3,48772468a3c8,31
13,7f6e3cf34bc1a8d9,c09d79f0d40b,29
14,4bc1a8d91e07d409,c5e2634e162a,33
15,1e07d4091ce2e6dc,a3df829c7968,31
16,365e5f591ce2e6dc,a6120b4d4c25,32
IP-1,057cde97d7683f2a,n/a,32
