Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2734aece7225b6f26b174ed92b5588,0e0471c947d9e8590cb7add6af7f6798,3
1,c5b8ad090ed6ff3fc1f9e8ca0c48e355,dd8137b09a58dfe996ef723f399015a7,36
2,8ec309ddc830a727556242d1bb97f158,bfd86ba22580b44bb36fc6748affd3d3,67
3,d5b1f60bc6a0fa26966946f66ec2921b,adbe0ddc883eb9973b517fe3b1aeac30,62
4,89b6b4eeceb61ea413abfc594acfa88b,412f0914c911b083f240cf6043ee6350,60
5,73198f78f1ffe4fbf93208ffdd7c7c6d,79d45a0eb0c5ea8d428525ed016b46bd,58
6,15419da60620b757b1ed91df547a5466,268e2072964bcaffd4ceef12d5a5a9af,63
7,a2dafbcad3978502d9063fed1e3e865e,605d5971f616938e22d87c9cf77dd533,66
8,c5a82a1aa44814fe14bc7507e3c64fc4,1f5e9a19e9480997cb90750b3ceda038,64
9,711c6cf4a34056000560a8470fd529cc,51be9df2b8f694657366e16e4f8b4156,65
10,f934ee3de81b1dacfaae091ea8baa98b,5a3d2c76e2cbb81391ad597dde26182b,60
