Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032547699abcdeffedcba9876543210,n/a,8
0,0f2725bfde7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,8
1,c4a9ad09d4bd465de781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,67
2,bcb15a2edde2d199728f7c00322e9c87,d2c96bb74980b45ede7ec661e6ffd3c6,65
3,bec63b306a402df0d444928ee9274c95,c0afdf39892f6b675751ad06b1ae7ec0,60
4,151b220aa13849aa43587765798bf72c,2c5c65f1a5730e96f222a390438cdd50,68
5,67bf0a1028d719e743ae6e2ea7b3fe72,589d36ebfdee387d0fcc9bed4c4046bd,56
6,ada42247a2d28c33f318f1458abf1db5,71c74cc28c2974bf83e5ef52cfa5a9ef,65
7,b6dd8e492711d8eb6aa86eb4da53ec39,37149348bb3de7f738d808a5f77da14a,65
8,c4df9acbd83a66e213c25749265ed360,48264520f31ba2d7cbc3aa723cbe0b38,67
9,d537038fda8849c2f753b722bdd5038f,fd0d42cb0e16e01cc5d54a6ef96b4156,64
10,b74a5a21ed75683d174e2205fcbc23e5,b48ef352ba98134e7f4d592086261876,62
