Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f3634aece7225b6f26b174ed92b5588,0e1571c947d9e8590cb7add6af7f6798,1
1,c5a9ad090ec7ff3fc1e8e8ca4cd02a9c,dd9037b09a49dfe996fe723f398115a7,22
2,90905fa9563356d15f3760f3b8259985,d3c96ba24980b44bdf7ec674e6ffd3d3,58
3,18aeb7aa794b3b66629448d575c7cebf,c1af0d2c882fb96757517f13b1aeacc0,67
4,f81015f993c978a876ae017cb49e7eec,2d3eb7e4a5110e83f240719043eedd50,63
5,5955c91b4e769f3cb4a94768e98d5267,15ffe4feb0eeea7d42ae9bed014046bd,81
6,dc60a24d137662181e45b8d3726b2920,3ca59e828c4b74ffcee5ef12cfa5a9af,70
7,fe8343b8f88bef66cab7e977d005a03c,7a76e708f63d93f738d87ce5f77dd54a,74
8,da7dad581d1725c5b72fa0f9d9d1366a,05753160f348a297cb90de723ced0b38,67
9,0ccb4c66bbfd912f4b511d72996345e0,4b5e368bb816941c73864a6e4f6b4156,59
10,fc8923ee501a7d207ab670686839996b,02dd870fbacb1313c94d597d8626182b,53
