Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2634aece7225b6f26b174ed92b5588,0e0571c947d9e8590cb7add6af7f6798,2
1,c5b9ad090ed7ff3fc1f8e8ca413fd86e,dd8037b09a59dfe996ee723f399115a7,41
2,1f4a54e32a0b9f8fdd2d65f6ee9eb6e5,5ed96ba2c480b44b526ec6746bffd3d3,59
3,3e270c4975b22b160d956077190539c0,4cbf0ddd883fb996da517fe2b1aeac31,65
4,ec2321505ed5ad71431f9e18bb4445fb,a02eca1528117383f2400c6143eea050,69
5,1e14535066fd5b6c050cf8789cde576a,98ce990fb0dfea8c429fe6ed017146bd,58
6,408f41f4dc2187a9a5f9a8ffdf632076,1b94e373ab4b09ffe9d4ef12e8a5a9af,64
7,a9cab9bc59de23cd557ef2ca442a2c5b,5d479ae8f60c93171fd87c05f77dd5aa,63
8,0814ba084388d099f7fab05fc400b3af,22443680d448a597cb90d9923ced0c38,72
9,c5529beaa63529f21c259c86dd230d7d,6cba316bb8f294fc73624d6e4f8f4156,69
10,8faf5e10b5f4c3947e8f4df46c26bd6f,293980ef91cb1413e2a9597dad26182b,68
