Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13568aceeca86420,n/a,3
1,3cf03c0fbad12844,7833c320da70,3
2,bad12844b1e92fa1,2b1a74ca48d8,10
3,b1e92fa1fa13d1f4,8c78d881d31d,27
4,fa13d1f44e6b4bfa,1667789316a0,34
5,4e6b4bfae4b7c618,ce5d01d80b25,29
6,e4b7c61810aa5bea,4bab4d126a9c,31
7,10aa5bea391f29e0,09f48b713191,30
8,391f29e07ba5dab1,710deaa3202b,32
9,7ba5dab148a538e2,129ab83347c3,31
10,48a538e2b17089a7,9c38661e8103,34
11,b17089a7c8ba87a4,a26e4cc66544,39
12,c8ba87a4b079d73f,48772468a3c8,39
13,b079d73fa2c8f2a3,c09d79f0d40b,41
14,a2c8f2a30d55153c,c5e2634e162a,36
15,0d55153cb8eb076a,a3df829c7968,34
16,283865f5b8eb076a,a6120b4d4c25,30
IP-1,2d2a0df291f727a1,n/a,30
