Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,02468aceeca86420,n/a,0
1,3cf03c0fb9823804,7833cb64da30,7
2,b9823804b1a44f61,2b1af48ac898,20
3,b1a44f6160017fb9,9c78d8c15715,30
4,60017fb9f7e9aa6d,1667789b02a8,33
5,f7e9aa6da5bfa317,ce5d05d05b05,32
6,a5bfa3170654c2c4,4bab4d1222bc,30
7,0654c2c409bd365b,09f4abf13981,30
8,09bd365b975e89f2,f10dea22223b,35
9,975e89f2ef18cf43,129abab245c3,39
10,ef18cf43cdf6d793,bc38660e8307,37
11,cdf6d79308e6e47a,a26e4cd665c0,33
12,08e6e47afffc00ee,487734688349,31
13,fffc00eec740de2c,c49d79d2f40a,29
14,c740de2ce3bedc5e,c7e2636c1728,29
15,e3bedc5eb9062062,abdf8298786a,37
16,4280a1efb9062062,a7120b494d65,40
IP-1,85632181808f4395,n/a,40
