Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032456789abcdeffedcba9876543210,n/a,3
0,0f2734aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,3
1,c4a9ad090fc7ff3fc0e8e8ca0d59e355,dc9037b09b49dfe997fe723f388115a7,32
2,dc08832d03e9784c179819005fdb6789,d2c96bb74980b45ede7ec661e6ffd3c6,68
3,86d50637e8943482b9ce5c0abbbd47c0,c0afdf39892f6b675751ad06b1ae7ec0,54
4,3238423a3484f024ac226459f62fada0,2c5c65f1a5730e96f222a390438cdd50,59
5,5c25f74976ef194813351d108648467d,589d36ebfdee387d0fcc9bed4c4046bd,62
6,c42090823cf3234db5d6e64b18322447,71c74cc28c2974bf83e5ef52cfa5a9ef,67
7,363b7eb45268a3376f08005fe17c394a,37149348bb3de7f738d808a5f77da14a,62
8,38daa2be3cc03af4d9df5a5d2f484f46,48264520f31ba2d7cbc3aa723cbe0b38,63
9,c2e6767250e36f67dcb5833ce607cc26,fd0d42cb0e16e01cc5d54a6ef96b4156,62
10,919f1fa5e94d580ef98861a508a8b09d,b48ef352ba98134e7f4d592086261876,71
