Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725aece7225b6f26b174ed92b5588,0e0460c947d9e8590cb7add6af7f6798,5
1,c5b8bc090ed6ee3fe690b7ed0c48f255,dd8126b09a58cee996ef633f399004a7,50
2,bc3e7cef40c1754652345e20a45fee24,bf737aa2252bb44bb3c4d7748a54d3d3,66
3,b75eeb3f73a093190d157e88f293b4b1,9b151cdcbe3ea8970dfa7fe387aeac30,71
4,3e30efb3df7ef8e833c06a5bba6c4618,778418cbc9bab05cc440cfbf43ee638f,69
5,919bc2ac43b7fc0e6b0794ce866d4e8d,4f7f6bd186c5db8d42851432016b77bd,61
6,96799a044824e3dde00931c75a8d04ca,108a11ad964fca20d4cade12d5a1a9af,65
7,b083c71c53b903746795f3d88441aeda,625968aef416a28e20dc7c9cf57dd533,77
8,6851f98f2e5ea20712cb49b4b79d46dd,1d5aab48e94c09c6c990755a3ceda069,63
9,cbc36196d06454954466c429d9580e5c,53ba52a3baf65b6573662e3f4f8b8e56,69
10,47e0ff6d926613d28a597957eb96388e,58a3e327e255b8429133967ddeb8182b,71
