Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0023456789abcdeffedcba9876543210,n/a,1
0,0f3634aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,1
1,c4a9ad090fc7ff3fc0e8e8ca4dd02a9c,dc9037b09b49dfe997fe723f388115a7,20
2,fe2ae569f7ee8bb8c1f5a2bb37ef53d5,d2c96bb74980b45ede7ec661e6ffd3c6,58
3,ec093dfb7c45343d689017507d485e62,c0afdf39892f6b675751ad06b1ae7ec0,59
4,43efdb697244df808e8d9364ee0ae6f5,2c5c65f1a5730e96f222a390438cdd50,61
5,7b28a5d5ed643287e006c099bb375302,589d36ebfdee387d0fcc9bed4c4046bd,68
6,3bc2d8b6798d8ac4fe36a1d891ac181a,71c74cc28c2974bf83e5ef52cfa5a9ef,64
7,9fb8b5452023c70280e5c4bb9e555a4b,37149348bb3de7f738d808a5f77da14a,67
8,20264e1126b219aef7feb3f9b2d6de40,48264520f31ba2d7cbc3aa723cbe0b38,65
9,b56a0341b2290ba7dfdfbddcd8578205,fd0d42cb0e16e01cc5d54a6ef96b4156,61
10,612b89398d0600cde116227ce72433f0,b48ef352ba98134e7f4d592086261876,58
