Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579bdeeca86420,n/a,7
1,3cf03c0fbadd2842,7833c320da70,7
2,badd284231a836c5,2b1a74ca48d8,19
3,31a836c5d5fec2dd,8c78d881d31d,29
4,d5fec2ddbb73b6aa,1667789316a0,34
5,bb73b6aac54f6454,ce5d01d80b25,37
6,c54f645434934d38,4bab4d126a9c,35
7,34934d3805fdd10a,09f48b713191,33
8,05fdd10a1c8c113c,710deaa3202b,39
9,1c8c113c01b019e2,129ab83347c3,38
10,01b019e2c4e17228,9c38661e8103,32
11,c4e172284777be00,a26e4cc66544,34
12,4777be00100b26db,48772468a3c8,35
13,100b26db34f1fc6d,c09d79f0d40b,32
14,34f1fc6db2d6354d,c5e2634e162a,29
15,b2d6354d8dd84e96,a3df829c7968,28
16,76a546638dd84e96,a6120b4d4c25,30
IP-1,914fdea862516db2,n/a,30
