Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032547689abcdeffedcba9876543210,n/a,7
0,0f2725bfce7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,7
1,c4a9ad09e32bd0fce781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,67
2,3abcd1a56fbb88728e7363e31850c8ad,d2c96bb74980b45ede7ec661e6ffd3c6,68
3,9063fc82a6a78defeeec5bc08a8f16af,c0afdf39892f6b675751ad06b1ae7ec0,74
4,48b6a0c6f00a5f5558f8f98e4e42371b,2c5c65f1a5730e96f222a390438cdd50,63
5,631ec0a613e11d5ab339197c16a0897f,589d36ebfdee387d0fcc9bed4c4046bd,63
6,89629147c3a622c56638d4d863e1ffd0,71c74cc28c2974bf83e5ef52cfa5a9ef,63
7,36531036588719cf6a3e2bde0d066ea7,37149348bb3de7f738d808a5f77da14a,62
8,d6594a7170b1504e3ed0cdde6cd2a559,48264520f31ba2d7cbc3aa723cbe0b38,67
9,3f675b32990e33c487588b9e515e5b04,fd0d42cb0e16e01cc5d54a6ef96b4156,64
10,c125cea054f22a6d6815603c57a3db7d,b48ef352ba98134e7f4d592086261876,61
