Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579bdffda86420,n/a,10
1,3cf03c0fbacd285a,7833c320da70,10
2,bacd285ab1e82fc0,2b1a74ca48d8,21
3,b1e82fc0f3d94f68,8c78d881d31d,32
4,f3d94f68ce9ef2e3,1667789316a0,38
5,ce9ef2e3fa7381ab,ce5d01d80b25,34
6,fa7381ab4fe8ffb5,4bab4d126a9c,34
7,4fe8ffb58ffadd54,09f48b713191,34
8,8ffadd54bc675b63,710deaa3202b,37
9,bc675b63a126ee86,129ab83347c3,35
10,a126ee867ee73160,9c38661e8103,34
11,7ee731603c1fb947,a26e4cc66544,34
12,3c1fb9477aaf5383,48772468a3c8,30
13,7aaf53834bd8a0e7,c09d79f0d40b,32
14,4bd8a0e72fe3b7b1,c5e2634e162a,31
15,2fe3b7b1a1362c95,a3df829c7968,31
16,1ebf8d33a1362c95,a6120b4d4c25,35
IP-1,97717e5c73b90096,n/a,35
