Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579bdffca86420,n/a,9
1,3cf03c0fbacd284a,7833c320da70,9
2,bacd284abbfa23e1,2b1a74ca48d8,20
3,bbfa23e11aafd677,8c78d881d31d,25
4,1aafd677981b1be4,1667789316a0,32
5,981b1be4b5c9329b,ce5d01d80b25,36
6,b5c9329b00a0bc3d,4bab4d126a9c,33
7,00a0bc3ddf960314,09f48b713191,35
8,df960314c1f23cb5,710deaa3202b,32
9,c1f23cb5e783ba86,129ab83347c3,31
10,e783ba8622965430,9c38661e8103,34
11,22965430f1cfbde6,a26e4cc66544,28
12,f1cfbde6fc672f82,48772468a3c8,30
13,fc672f8207875628,c09d79f0d40b,31
14,07875628696d9655,c5e2634e162a,31
15,696d9655e491f1a2,a3df829c7968,31
16,2946a8bfe491f1a2,a6120b4d4c25,31
IP-1,6913914529cf98af,n/a,31
