Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2724aece7225b6f26b174ed92b5588,0e0461c947d9e8590cb7add6af7f6798,4
1,c5b8bd090ed6ef3fef8ba4e40c48f355,dd8127b09a58cfe996ef623f399005a7,50
2,5c9ca60f23753b9fefdd30cc6ff85fab,bfea7ba225b2b44bb35dd6748acdd3d3,59
3,4889645f8ebd511f0989df5181d7d879,068c1ddc233ea99790637fe31aaeac30,65
4,e8b4d71ba7038681ca581ddfa90e19e1,ea1d197ec923b0e95940cf0a43ee633a,65
5,2e8439e6668546924ea231a6eaebea3d,d2e699641bc5298d4285e687016b85bd,69
6,ad00b955b7ef5f7af7ae1f065fa9a970,8d71e31896b4ca95d4312c12d55aa9af,58
7,a998b802b4febfba03d21e0e64514d0b,73a29a1be516508e31277c9ce47dd533,64
8,3ea2a883b80275c8de1200a3d3915395,0ca15972e9b709fcd89075603ceda053,66
9,ed92c91432d3f636fbd7e8aa5a2f0b4f,4241b499abf6bd657366c8054f8b6856,60
10,1c629e99c1fc93829e81ad7860505a87,4904051de2f2b8789194707dde1f182b,69
