Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032547698abcdeffedcba9876543210,n/a,9
0,0f2725bfdf7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,9
1,c4a9ad09c93ec5c3e781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,68
2,ff3a92e6ec77443d10eddac4ce317f7b,d2c96bb74980b45ede7ec661e6ffd3c6,67
3,9e90f1e3ada8c6aee2f85785200f67e5,c0afdf39892f6b675751ad06b1ae7ec0,71
4,e5fc6adcc3e1f8d4064a2327b5abdb73,2c5c65f1a5730e96f222a390438cdd50,69
5,4b4ad140ff2138773d294aacbbe1eeab,589d36ebfdee387d0fcc9bed4c4046bd,67
6,a49613e3751f8c1a159e480cf7603322,71c74cc28c2974bf83e5ef52cfa5a9ef,74
7,3fa3103c55f9dfa13e1f86bc167c88e1,37149348bb3de7f738d808a5f77da14a,68
8,ae4e328964c02b017c26d1015731ceaf,48264520f31ba2d7cbc3aa723cbe0b38,66
9,bcbdeb8aa681abf0e8495f42b31a489d,fd0d42cb0e16e01cc5d54a6ef96b4156,62
10,d1823c0c9ea34130e4efb0aceb5c7a5a,b48ef352ba98134e7f4d592086261876,71
