Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0033456789abcdeffedcba9876543210,n/a,2
0,0f2634aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,2
1,c4a9ad090fc7ff3fc0e8e8ca402fd86e,dc9037b09b49dfe997fe723f388115a7,41
2,bf6b26eb7379983c6e3fc7def805b9f0,d2c96bb74980b45ede7ec661e6ffd3c6,59
3,5b0d7952ac591d07d3f18aede9c6eb00,c0afdf39892f6b675751ad06b1ae7ec0,68
4,0509cec98d9bf7768a3352a9ec85b8ab,2c5c65f1a5730e96f222a390438cdd50,62
5,d0bcef86a8470294e239370373e73720,589d36ebfdee387d0fcc9bed4c4046bd,61
6,47ee711dfb3e47e2f21620ee69022081,71c74cc28c2974bf83e5ef52cfa5a9ef,77
7,1a05e0ae7fda2d4593d918daee075382,37149348bb3de7f738d808a5f77da14a,58
8,50d5c4011a6bb3b1b3d8d8f55e641a5d,48264520f31ba2d7cbc3aa723cbe0b38,76
9,f74f78b82cf7f8da0ed21f0dc764f107,fd0d42cb0e16e01cc5d54a6ef96b4156,70
10,dce63397cb2db222d40ee57740a259a1,b48ef352ba98134e7f4d592086261876,70
