Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032547789abcdeffedcba9876543210,n/a,6
0,0f2725bece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,6
1,c4a9ad09458d21abe781a6ed0d59e355,dc9037b09b49dfe997fe723f388115a7,63
2,d5ff7d0991c4f7f35ca10e5c95dcc920,d2c96bb74980b45ede7ec661e6ffd3c6,63
3,fec54ffe1ab77a12a01b93bbfd5a4c54,c0afdf39892f6b675751ad06b1ae7ec0,63
4,5df1b41282548780bdfbae182a10a51f,2c5c65f1a5730e96f222a390438cdd50,72
5,8466d260052068c8fe7866a5df68c07e,589d36ebfdee387d0fcc9bed4c4046bd,60
6,cd4bcc5aef24a7bf7cf843bffe94842c,71c74cc28c2974bf83e5ef52cfa5a9ef,67
7,679abf5a3c3f1ef43d59b4ec00570963,37149348bb3de7f738d808a5f77da14a,67
8,b03ea2a1c7c0595cdff51c2d95ee7dd0,48264520f31ba2d7cbc3aa723cbe0b38,65
9,114aac3f652f7330ea1f565173a027fa,fd0d42cb0e16e01cc5d54a6ef96b4156,62
10,369b427ff758df3bf8adc82409f097a7,b48ef352ba98134e7f4d592086261876,62
