Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,02468aceeca86420,n/a,0
1,3cf03c0f9ad628c5,7833c324da70,3
2,9ad628c59939136b,2b1a74ca48d8,11
3,9939136b768067b7,8c78d8c1d31d,25
4,768067b75a8807c5,1667789316a8,29
5,5a8807c5488dbe94,ce5d01d81b25,26
6,488dbe94aba7fe53,4bab4d126abc,26
7,aba7fe53177d21e4,09f48b713991,27
8,177d21e4548f1de4,710deaa3203b,32
9,548f1de471f64dfd,129ab8b347c3,34
10,71f64dfd4279876c,9c38661e8303,36
11,4279876c399fdc0d,a26e4cd66544,32
12,399fdc0d6d208dbb,48772468a3c8,28
13,6d208dbbb9bdeeaa,c09d79f0f40b,33
14,b9bdeeaad2c3a56f,c5e2636e162a,30
15,d2c3a56f2765c1fb,a3df829c796a,27
16,01263dc42765c1fb,a6120b4d4d25,30
IP-1,ee92b50606b62b0b,n/a,30
