Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13578aceeca86420,n/a,4
1,3cf03c0fbad12846,7833c320da70,4
2,bad12846b9eb2fa1,2b1a74ca48d8,11
3,b9eb2fa1ba9b83b6,8c78d881d31d,21
4,ba9b83b60f182101,1667789316a0,30
5,0f1821011b18e8c3,ce5d01d80b25,27
6,1b18e8c36929c5ca,4bab4d126a9c,35
7,6929c5caa760e0ac,09f48b713191,39
8,a760e0acbe17c6e6,710deaa3202b,35
9,be17c6e6a6443be4,129ab83347c3,35
10,a6443be4669cdc10,9c38661e8103,29
11,669cdc1053f9c8d1,a26e4cc66544,34
12,53f9c8d17dacef76,48772468a3c8,37
13,7dacef7672336537,c09d79f0d40b,33
14,72336537956c8aba,c5e2634e162a,36
15,956c8aba08ef4a7e,a3df829c7968,40
16,a1bd4a2108ef4a7e,a6120b4d4c25,33
IP-1,712e32be12732e70,n/a,33
