Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13468aceeca86420,n/a,2
1,3cf03c0fbad32844,7833c320da70,2
2,bad3284431a93fa1,2b1a74ca48d8,10
3,31a93fa1efb4fa5a,8c78d881d31d,21
4,efb4fa5a35bfaa8a,1667789316a0,36
5,35bfaa8ad0b7c4e4,ce5d01d80b25,36
6,d0b7c4e421d4f8ab,4bab4d126a9c,26
7,21d4f8abeb57917c,09f48b713191,29
8,eb57917cef8df5ff,710deaa3202b,32
9,ef8df5ff1c978a08,129ab83347c3,30
10,1c978a0899680ada,9c38661e8103,32
11,99680ada67a093a1,a26e4cc66544,35
12,67a093a1e14e2762,48772468a3c8,35
13,e14e27623584b92c,c09d79f0d40b,33
14,3584b92c2788c016,c5e2634e162a,32
15,2788c0169decaaa9,a3df829c7968,30
16,1d79c9319decaaa9,a6120b4d4c25,28
IP-1,d708e0fed13b34ae,n/a,28
