Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725bede7225b6f26b174ed92b5588,0e0460d957d9e8590cb7add6af7f6798,7
1,c5b8bc19630aa61af690b7fd1c48f245,dd8126a08a58cef986ef632f299004b7,64
2,8695b5e62544b4b0062f057d7d28623b,bf738f05352b41fcb3c422d39a542664,55
3,b7a978decbd161b8adef77176ee747ae,9b84ccbdaeaf8d411d6baf92873f89f6,65
4,fc16df52b1d0bf8f13f27a2d8620a7f2,e6238eaa488c03eb55e7ac79d2d8258f,70
5,2fb0127788b507625fb52ac5c9a5172a,971cfd1fdf90fef48a77528d58af7702,64
6,809cafabe3f29a02772783c6335b0b07,cee98a75117974819b0e260cc3a1510e,73
7,9416f2e389cc78ca8234d47c1ded9393,bc38215bad4155da364f73d6f5ee22d8,68
8,191bc67b09133a73abe8b5b04caef445,14ab40bdb9ea15678fa566b17a4b4469,57
9,339413742f8d30654206b5422fa42159,bcb0b967055aac008affcab1f0b48ed8,73
10,c4f40d20179c8979a445c3176d9a34ae,07a9d8eb02f374eb880cbe5a78b83082,68
