Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,02468aceeca86420,n/a,0
1,3cf03c0fb9c22844,7833c364da30,4
2,b9c2284486944ae9,2b1a748ac898,26
3,86944ae96a9bfaad,8c78d8c15715,36
4,6a9bfaad6247ce53,1667789b02a8,23
5,6247ce534946b3f8,ce5d01d05b05,26
6,4946b3f88a095659,4bab4d1222bc,33
7,8a095659b8c09453,09f48bf13981,34
8,b8c0945304a0126e,710dea22223b,39
9,04a0126e2d43005c,129ab8b245c3,36
10,2d43005c4bd21e38,9c38660e8307,32
11,4bd21e384beef612,a26e4cd665c0,36
12,4beef61257feea73,487724688349,36
13,57feea732524a674,c09d79d2f40a,31
14,2524a674afaec110,c5e2636c1728,33
15,afaec110e42b2cac,a3df8298786a,33
16,dcefbb76e42b2cac,a6120b494d65,36
IP-1,3435db7e45bfd1d6,n/a,36
