Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579bdfeca86420,n/a,8
1,3cf03c0fbadd284a,7833c320da70,8
2,badd284a3bba32e5,2b1a74ca48d8,22
3,3bba32e5111ed5d8,8c78d881d31d,29
4,111ed5d8b6c59629,1667789316a0,26
5,b6c596294f5a4fe6,ce5d01d80b25,31
6,4f5a4fe6ddf24377,4bab4d126a9c,37
7,ddf2437733ca2d3b,09f48b713191,33
8,33ca2d3bd15b59e6,710deaa3202b,29
9,d15b59e655afa2f8,129ab83347c3,29
10,55afa2f8aa666c0d,9c38661e8103,29
11,aa666c0dd7c4b1f7,a26e4cc66544,26
12,d7c4b1f759edd4ee,48772468a3c8,28
13,59edd4eeada7c9fb,c09d79f0d40b,31
14,ada7c9fbf0294cf9,c5e2634e162a,32
15,f0294cf97318295b,a3df829c7968,30
16,075db1407318295b,a6120b4d4c25,28
IP-1,dec2503ab68c9304,n/a,28
