Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579bceeca86420,n/a,6
1,3cf03c0fbad52842,7833c320da70,6
2,bad52842b1a927c1,2b1a74ca48d8,15
3,b1a927c1ee02d47e,8c78d881d31d,28
4,ee02d47efefcee47,1667789316a0,37
5,fefcee47618ee3c5,ce5d01d80b25,33
6,618ee3c557eaee6a,4bab4d126a9c,28
7,57eaee6aeecb9938,09f48b713191,30
8,eecb993866a2ee63,710deaa3202b,33
9,66a2ee63802e550e,129ab83347c3,28
10,802e550e457d0452,9c38661e8103,29
11,457d0452a451a97a,a26e4cc66544,33
12,a451a97ab252146c,48772468a3c8,32
13,b252146cadb4b0ab,c09d79f0d40b,32
14,adb4b0aba09185d6,c5e2634e162a,31
15,a09185d660c43c05,a3df829c7968,27
16,9c910b3d60c43c05,a6120b4d4c25,30
IP-1,17046b4d5989a070,n/a,30
