Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725bece7225b6f26b174ed92b5588,0e0460d947d9e8590cb7add6af7f6798,6
1,c5b8bc19449c30bbe690b7fd0c48f245,dd8126a09a58cef996ef632f399004b7,63
2,56fc0ce8eea4543ccdab1115892a400a,bf738fb2252b414bb3c422648a5426d3,57
3,dc5da701dac346b94df513e960da10e0,9b84e9ccbeafa8870d6b8ae3873fac30,63
4,1fa987c07103ff717b2e3926f95669ce,e615eddb58ba455c55d1cfbfd2ee638f,62
5,51658751cb3f756bed475415a7821382,deee9e6e8654db32d385148d016b7702,63
6,945338096e5d1f6523ffcfa87e828a29,811be912074f3220d4ca26add5a151af,71
7,4c5005e094b5d4e1130b687826450d8f,f3ca9011f485a231204f849cf5eed533,64
8,5bedb0faa0bb758554e7a3338ed84b13,5bc953f7af4cf1c68f03755a7aeda069,65
9,35bcea7c585525ada6211862dc47bda6,1529aa2dba655beb35662eb14f8b8ed8,69
10,88cc668dcea8ea52b593396658dd0f81,1e30cba9a45590429133bef3deb8302b,67
