Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725bedf7225b6f26b174ed92b5588,0e0460d956d9e8590cb7add6af7f6798,8
1,c5b8bc197f892584f790b7fd1d48f245,dd8126a08b58cef987ef632f289004b7,66
2,dd0e75b7766d9d5aaff83373173d6cf9,bf738f94342b416db3c422429b5426f5,59
3,1cfab90ee54c11fda45eacf94bef41a1,9b846980afaf28ed1c6b0aaf873f2c5a,71
4,1da10df42006859cbf73332fc3e3e8c7,e6f5d797495aff7a5531f5d5d20ed98f,63
5,ba22a3eecf2194eb6b3d7bf41b5861ff,5dc0a422149a5b5841abae8d93a57702,59
6,a355a209ce6998bb8d580703cbeaf317,7b35d3fe6faf88a62e04262bbda15129,57
7,38a31f5dd90206c1b0a3539ce9a36b4d,09e47684664bfe22484fd809f5ee8920,66
8,38654e2c80e42af2fc971941e9ccdd89,a143c162c7083f408f47e7497aa96e69,54
9,afc917591c3b481f214dc517d609924f,69dc38b8aed407f82193e0b15b3a8ed8,65
10,a627ff05edf211b2ad834e08fd6562e0,dfc5598171115e795082bec80bb83010,72
