Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,15.62,696a6b6c6d6e6f0150fd3b75dd8d2392
2,41.41,50fd3b75dd8d2392200979dc6de52ebe
3,56.25,200979dc6de52ebec7bfcf0c0be7e330
4,57.03,c7bfcf0c0be7e330d4cfcb5e7bef8e9b
5,50.0,d4cfcb5e7bef8e9b58f86a4bc226b292
6,46.09,58f86a4bc226b292e4e92d790a6686ed
7,51.56,e4e92d790a6686eda21987e3a3fea51f
8,53.91,a21987e3a3fea51fa303a120c5fa3511
9,51.56,a303a120c5fa351155cc9244ae7a61d3
10,57.03,55cc9244ae7a61d3ba3093f09a2d6539
11,58.59,ba3093f09a2d6539b0e2bd23473602ae
12,54.69,b0e2bd23473602ae92dc47aca8757099
13,51.56,92dc47aca87570991b42165f06d54302
14,50.0,1b42165f06d543022fdf3557b8030f4e
15,45.31,2fdf3557b8030f4edfae3225d6896666
16,49.22,dfae3225d68966666fa20a41850b4416
