Round,Bit Difference,Hexadecimal
0,4.69,6162646465674668696a6b6c6d6e6f01
1,4.69,696a6b6c6d6e6f01e08d1c956dccd272
2,13.28,e08d1c956dccd272cd1a63ef46e49e2b
3,30.47,cd1a63ef46e49e2b77ea9a839f205e1f
4,46.09,77ea9a839f205e1f3e259fbbab09f935
5,46.88,3e259fbbab09f935938a393415ab86a4
6,47.66,938a393415ab86a47f7bb88156f701c7
7,51.56,7f7bb88156f701c7f0b66d4dad58fbcd
8,57.81,f0b66d4dad58fbcdf10e2a2792ff53cf
9,50.78,f10e2a2792ff53cf8d65ffab3fe83100
10,32.81,8d65ffab3fe831002fdda14421500812
11,40.62,2fdda14421500812e3f5f8677698c79e
12,53.91,e3f5f8677698c79edef5140d15546291
13,50.0,def5140d15546291100b975354ad5405
14,51.56,100b975354ad54058654875a6860b7aa
15,47.66,8654875a6860b7aaac5edb2dda27d99f
16,44.53,ac5edb2dda27d99fb84825d02583a6e9
