Round,Bit Difference,Hexadecimal
0,4.69,6263636365666768696a6b6c6d6e6f01
1,4.69,696a6b6c6d6e6f01e38c1b926dcdf372
2,15.62,e38c1b926dcdf3726d68a75d26803ccf
3,30.47,6d68a75d26803ccf7f0b0b8cf58d74b8
4,45.31,7f0b0b8cf58d74b819553105089add8d
5,45.31,19553105089add8d4760ef0bb9a29f36
6,53.12,4760ef0bb9a29f362b87017270659259
7,58.59,2b87017270659259bcdc0f483430886b
8,50.0,bcdc0f483430886befe4919a033a4634
9,42.19,efe4919a033a463450b8f75a044d9de4
10,46.88,50b8f75a044d9de4b2a11d639fd68dc3
11,52.34,b2a11d639fd68dc3e92d6a1a934eb749
12,44.53,e92d6a1a934eb7493363e3df26de193b
13,54.69,3363e3df26de193baeda1143232e01da
14,56.25,aeda1143232e01da5b1395535ccab16e
15,50.78,5b1395535ccab16ed7050b6be6f06b1c
16,57.03,d7050b6be6f06b1cd4f1c831ef66a7b7
