Round,Bit Difference,Hexadecimal
0,2.34,6242636465666768696a6b6c6d6e6f01
1,2.34,696a6b6c6d6e6f01e3ad1b956dcdf372
2,7.81,e3ad1b956dcdf372ed4807dd06809c4f
3,25.0,ed4807dd06809c4fc2e37653144c5ddc
4,45.31,c2e37653144c5ddc2b65a217616f2492
5,53.12,2b65a217616f2492868c35f67e8ef15d
6,57.81,868c35f67e8ef15d7c8462caf9f536fe
7,57.81,7c8462caf9f536fef9ee165333dc440b
8,50.78,f9ee165333dc440b498516cfb6bb159e
9,48.44,498516cfb6bb159e0bc02d6f248ee594
10,49.22,0bc02d6f248ee594e5e6ef9c42190f1a
11,53.91,e5e6ef9c42190f1a2eddb5d0436ad2ab
12,53.12,2eddb5d0436ad2ab4e8f851793b495d6
13,53.91,4e8f851793b495d635aa5d9d1a379d9a
14,47.66,35aa5d9d1a379d9ada993d673c818ac4
15,42.97,da993d673c818ac4ca0a2fe2afc5ba45
16,49.22,ca0a2fe2afc5ba45833e40b5c1bffb12
