Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,28.91,696a6b6c6d6e6f01cda264a02e6b26c4
2,55.47,cda264a02e6b26c4e785ca97738114f2
3,52.34,e785ca97738114f2cba270bdbd2c3b46
4,51.56,cba270bdbd2c3b462252984c1d9c325e
5,46.88,2252984c1d9c325e149435ccb075c73a
6,49.22,149435ccb075c73a8f8b910d9fde22d5
7,53.91,8f8b910d9fde22d58a57a4c331f1ae5e
8,50.0,8a57a4c331f1ae5ea967224208274fac
9,49.22,a967224208274facb13662f7348f9945
10,46.88,b13662f7348f994594964ff5dec4509e
11,43.75,94964ff5dec4509e82ff9a7fc0187b54
12,39.84,82ff9a7fc0187b54021748a9f080b973
13,45.31,021748a9f080b973ce8826b74a991cf1
14,52.34,ce8826b74a991cf1a42884193d041f84
15,52.34,a42884193d041f842bca4423d2549f5d
16,50.0,2bca4423d2549f5da7afb025530b58dc
