Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,11.72,696a6b6c6d6e6f01505d7bd51d8dc372
2,29.69,505d7bd51d8dc372ad49443c4404be1b
3,43.75,ad49443c4404be1b7a23bd53d9cdfabd
4,53.12,7a23bd53d9cdfabd1ea567139396af08
5,49.22,1ea567139396af08d3c6f3fd5d9d855c
6,42.97,d3c6f3fd5d9d855c5483d21764bac8b1
7,49.22,5483d21764bac8b1ee895eaf3bb8331c
8,51.56,ee895eaf3bb8331c1c965384a1228626
9,48.44,1c965384a12286267178ed8548c35f0f
10,51.56,7178ed8548c35f0f8349982ad2acc92b
11,48.44,8349982ad2acc92bd9adb28928efb721
12,46.88,d9adb28928efb721dd234e985a8dde70
13,52.34,dd234e985a8dde70b722b8f22567cec2
14,53.91,b722b8f22567cec27f3b84dfafdefc21
15,51.56,7f3b84dfafdefc216343caf5edddf414
16,47.66,6343caf5edddf414f2fb119a87f4c546
