Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,14.06,696a6b6c6d6e6f01807debc54dcd6392
2,35.16,807debc54dcd6392b0bc2bbcda610d7f
3,50.78,b0bc2bbcda610d7fecbd272775f8cc56
4,59.38,ecbd272775f8cc5647fa90075ae9aa0f
5,56.25,47fa90075ae9aa0f1095818366a8a74c
6,53.12,1095818366a8a74ce3b65cf291e42075
7,53.12,e3b65cf291e420751823c1e8950c4f86
8,49.22,1823c1e8950c4f867cd3a7a773f0beb2
9,49.22,7cd3a7a773f0beb2b5a523101a827a59
10,50.78,b5a523101a827a5984a7997cb6c72276
11,51.56,84a7997cb6c72276d5d58757a3df21ec
12,55.47,d5d58757a3df21ece1c2bcdde7cecce8
13,52.34,e1c2bcdde7cecce8fa5e4d0ef256e591
14,50.78,fa5e4d0ef256e591609feda1d80669d2
15,51.56,609feda1d80669d2b9a4c57da2566932
16,51.56,b9a4c57da2566932c0e6c3d4cd5282d4
