Round,Bit Difference,Hexadecimal
0,0.78,4162636465666768696a6b6c6d6e6f01
1,0.78,696a6b6c6d6e6f01c08d1b956dcdf372
2,2.34,c08d1b956dcdf372cd5837ed16a09c6f
3,10.16,cd5837ed16a09c6f7248dd8b764c54b5
4,24.22,7248dd8b764c54b5e78533f25d1720c3
5,42.19,e78533f25d1720c3f92551526a6f6ab1
6,46.88,f92551526a6f6ab181f72e6d84280c88
7,46.88,81f72e6d84280c88f0dd837f271b98da
8,46.88,f0dd837f271b98da0d87772ae8c3792f
9,41.41,0d87772ae8c3792f8edfe9268dfee980
10,50.78,8edfe9268dfee980bce05220bb3ea962
11,52.34,bce05220bb3ea9620c4e59a5adbb9305
12,42.19,0c4e59a5adbb9305ebe441cb6aa876a4
13,46.88,ebe441cb6aa876a4e6551e33f7245d14
14,53.12,e6551e33f7245d146032538fd53186e0
15,52.34,6032538fd53186e03dabbf0583c463b9
16,50.78,3dabbf0583c463b9c3a3abab8cfc3b50
