h,15478
w,12222
d,9838
r,9517
l,8640
q,8070
k,7923
v,7271
u,6656
g,5478
o,5213
x,3991
f,3028
z,2971
j,2950
b,2603
p,2406
i,2378
s,1975
e,1752
n,1298
y,968
m,236
t,223
a,180
c,79
