a,180
b,2603
c,79
d,9838
e,1752
f,3028
g,5478
h,15478
i,2378
j,2950
k,7923
l,8640
m,236
n,1298
o,5213
p,2406
q,8070
r,9517
s,1975
t,223
u,6656
v,7271
w,12222
x,3991
y,968
z,2971
