e,15478
t,12222
a,9838
o,9517
i,8640
n,8070
h,7923
s,7271
r,6656
d,5478
l,5213
u,3991
c,3028
w,2971
g,2950
y,2603
m,2406
f,2378
p,1975
b,1752
k,1298
v,968
j,236
q,223
x,180
z,79
